date,CC,dr_ada,dr_bat,dr_bch,dr_bnb,dr_bsv,dr_btc,dr_dash,dr_eos,dr_etc,dr_eth,dr_ltc,dr_miota,dr_mkr,dr_neo,dr_okb,dr_ont,dr_trx,dr_usdt,dr_vet,dr_xem,dr_xlm,dr_xmr,dr_xrp,dr_xtz,dr_zec
2018-01-08,dr_eos,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-08,dr_etc,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-08,dr_eth,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-08,dr_ltc,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-08,dr_miota,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-08,dr_mkr,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-08,dr_neo,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-08,dr_okb,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-08,dr_ont,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-08,dr_trx,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-08,dr_usdt,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-08,dr_vet,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-08,dr_xem,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-08,dr_xlm,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-08,dr_xmr,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-08,dr_xrp,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-08,dr_xtz,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-08,dr_zec,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-09,dr_ada,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-09,dr_bat,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-09,dr_bch,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-09,dr_bnb,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-09,dr_bsv,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-09,dr_btc,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-09,dr_dash,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-09,dr_eos,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-09,dr_etc,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-09,dr_eth,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-09,dr_ltc,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-09,dr_miota,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-09,dr_mkr,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-09,dr_neo,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-09,dr_okb,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-09,dr_ont,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-09,dr_trx,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-09,dr_usdt,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-09,dr_vet,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-09,dr_xem,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-09,dr_xlm,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-09,dr_xmr,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-09,dr_xrp,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-09,dr_xtz,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-09,dr_zec,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-10,dr_ada,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-10,dr_bat,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-10,dr_bch,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-10,dr_bnb,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-10,dr_bsv,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-10,dr_btc,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-10,dr_dash,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-10,dr_eos,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-10,dr_etc,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-10,dr_eth,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-10,dr_ltc,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-10,dr_miota,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-10,dr_mkr,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-10,dr_neo,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-10,dr_okb,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-10,dr_ont,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-10,dr_trx,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-10,dr_usdt,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-10,dr_vet,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-10,dr_xem,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-10,dr_xlm,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-10,dr_xmr,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-10,dr_xrp,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-10,dr_xtz,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-10,dr_zec,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-11,dr_ada,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-11,dr_bat,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-11,dr_bch,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-11,dr_bnb,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-11,dr_bsv,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-11,dr_btc,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-11,dr_dash,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-11,dr_eos,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-11,dr_etc,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-11,dr_eth,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-11,dr_ltc,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-11,dr_miota,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-11,dr_mkr,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-11,dr_neo,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-11,dr_okb,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-11,dr_ont,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-11,dr_trx,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-11,dr_usdt,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-11,dr_vet,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-11,dr_xem,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-11,dr_xlm,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-11,dr_xmr,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-11,dr_xrp,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-11,dr_xtz,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-11,dr_zec,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-12,dr_ada,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-12,dr_bat,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-12,dr_bch,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-12,dr_bnb,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-12,dr_bsv,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-12,dr_btc,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-12,dr_dash,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-12,dr_eos,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-12,dr_etc,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-12,dr_eth,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-12,dr_ltc,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-12,dr_miota,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-12,dr_mkr,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-12,dr_neo,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-12,dr_okb,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-12,dr_ont,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-12,dr_trx,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-12,dr_usdt,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-12,dr_vet,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-12,dr_xem,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-12,dr_xlm,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-12,dr_xmr,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-12,dr_xrp,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-12,dr_xtz,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-12,dr_zec,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-13,dr_ada,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-13,dr_bat,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-13,dr_bch,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-13,dr_bnb,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-13,dr_bsv,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-13,dr_btc,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-13,dr_dash,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-13,dr_eos,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-13,dr_etc,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-13,dr_eth,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-13,dr_ltc,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-13,dr_miota,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-13,dr_mkr,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-13,dr_neo,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-13,dr_okb,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-13,dr_ont,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-13,dr_trx,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-13,dr_usdt,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-13,dr_vet,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-13,dr_xem,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-13,dr_xlm,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-13,dr_xmr,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-13,dr_xrp,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-13,dr_xtz,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-13,dr_zec,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-14,dr_ada,,,,,,,,,,,,,,,,,,,,,,,,,
